7593,0.0025,0.01
332,0.0025,0.01
1870,0.0025,0.01
5129,0.0025,0.01
9685,0.0025,0.01
990,0.0025,0.01
1823,0.0025,0.01
1971,0.0025,0.01
8126,0.0025,0.01
5000,0.0025,0.01
7211,0.0025,0.01
9333,0.0025,0.01
2945,0.0025,0.01
9552,0.0025,0.01
4966,0.0025,0.01
850,0.0025,0.01
8509,0.0025,0.01
793,0.0025,0.01
4872,0.0025,0.01
2800,0.0025,0.01
9690,0.0025,0.01
8643,0.0025,0.01
6154,0.0025,0.01
4789,0.0025,0.01
7022,0.0025,0.01
7791,0.0025,0.01
3194,0.0025,0.01
5137,0.0025,0.01
4234,0.0025,0.01
3718,0.0025,0.01
21,0.0025,0.01
4002,0.0025,0.01
5620,0.0025,0.01
1528,0.0025,0.01
4613,0.0025,0.01
899,0.0025,0.01
9358,0.0025,0.01
3573,0.0025,0.01
2051,0.0025,0.01
6187,0.0025,0.01
2867,0.0025,0.01
7558,0.0025,0.01
3641,0.0025,0.01
3561,0.0025,0.01
2702,0.0025,0.01
995,0.0025,0.01
5510,0.0025,0.01
1074,0.0025,0.01
185,0.0025,0.01
1650,0.0025,0.01
7916,0.0025,0.01
4591,0.0025,0.01
5006,0.0025,0.01
3858,0.0025,0.01
5121,0.0025,0.01
2589,0.0025,0.01
9418,0.0025,0.01
2349,0.0025,0.01
6864,0.0025,0.01
3663,0.0025,0.01
1694,0.0025,0.01
2089,0.0025,0.01
4104,0.0025,0.01
2616,0.0025,0.01
8829,0.0025,0.01
2721,0.0025,0.01
1391,0.0025,0.01
7025,0.0025,0.01
9909,0.0025,0.01
8955,0.0025,0.01
3079,0.0025,0.01
8593,0.0025,0.01
1475,0.0025,0.01
6760,0.0025,0.01
351,0.0025,0.01
4506,0.0025,0.01
2147,0.0025,0.01
395,0.0025,0.01
3144,0.0025,0.01
7077,0.0025,0.01
544,0.0025,0.01
8275,0.0025,0.01
729,0.0025,0.01
6751,0.0025,0.01
8459,0.0025,0.01
6164,0.0025,0.01
5629,0.0025,0.01
626,0.0025,0.01
4743,0.0025,0.01
3623,0.0025,0.01
9186,0.0025,0.01
2880,0.0025,0.01
5155,0.0025,0.01
1516,0.0025,0.01
765,0.0025,0.01
2675,0.0025,0.01
7597,0.0025,0.01
3741,0.0025,0.01
7919,0.0025,0.01
5660,0.0025,0.01
